Public ref. number,States (EN),Elect. group (EN),Region. group (EN),Year of inscription,Decision No.,Type of candidature,National or Multinational,Title (EN),Short description (EN)
1581,France; Belgium; Luxembourg; Italy,Group I,Europe and North America,2020,15.COM 8.b.28,Representative List,Multinational,"Musical art of horn players, an instrumental technique linked to singing, breath control, vibrato, resonance of place and conviviality","The musical art of horn players, an instrumental technique linked to singing, breath control, vibrato, resonance of place and conviviality relates to the techniques and skills used to play the horn. Playing the horn is a performative art open to musical creativity and practised on festive occasions. Players come from all backgrounds and this great social mix is one of the hallmarks of current horn practice. Horn music maintains a vast, lively musical repertoire constantly enriched since the 17th century and a great sense of belonging and continuity stems from interpreting this common repertoire."
1581,France; Belgium; Luxembourg; Italy,Group I,Europe and North America,2020,15.COM 8.b.28,Representative List,Multinational,"Musical art of horn players, an instrumental technique linked to singing, breath control, vibrato, resonance of place and conviviality","The musical art of horn players, an instrumental technique linked to singing, breath control, vibrato, resonance of place and conviviality relates to the techniques and skills used to play the horn. Playing the horn is a performative art open to musical creativity and practised on festive occasions. Players come from all backgrounds and this great social mix is one of the hallmarks of current horn practice. Horn music maintains a vast, lively musical repertoire constantly enriched since the 17th century and a great sense of belonging and continuity stems from interpreting this common repertoire."
1581,France; Belgium; Luxembourg; Italy,Group I,Europe and North America,2020,15.COM 8.b.28,Representative List,Multinational,"Musical art of horn players, an instrumental technique linked to singing, breath control, vibrato, resonance of place and conviviality","The musical art of horn players, an instrumental technique linked to singing, breath control, vibrato, resonance of place and conviviality relates to the techniques and skills used to play the horn. Playing the horn is a performative art open to musical creativity and practised on festive occasions. Players come from all backgrounds and this great social mix is one of the hallmarks of current horn practice. Horn music maintains a vast, lively musical repertoire constantly enriched since the 17th century and a great sense of belonging and continuity stems from interpreting this common repertoire."
1590,Belgium,Group I,Europe and North America,2021,16.COM 8.b.4,Representative List,National,Namur stilt jousting,"Namur stilt jousting is a Belgian tradition dating back to the early fifteenth century. During a joust, participants attempt to knock all the members of the opposing team to the ground. Jousts usually take place during festivals in the streets and squares of Namur. Entry is free, and spectators gather around the jousting zone and cheer on their favourite teams. Stilt jousting is a strong marker of Namur's identity and is seen as a factor of cohesion. The practice is transmitted through trainings at the local stilt jousting association as well as through family tradition and in schools."
1,Belize; Guatemala; Honduras; Nicaragua,Group III,Latin America and the Caribbean,2008,3.COM 1,Representative List,Multinational,"Language, dance and music of the Garifuna",
1,Belize; Guatemala; Honduras; Nicaragua,Group III,Latin America and the Caribbean,2008,3.COM 1,Representative List,Multinational,"Language, dance and music of the Garifuna",
1,Belize; Guatemala; Honduras; Nicaragua,Group III,Latin America and the Caribbean,2008,3.COM 1,Representative List,Multinational,"Language, dance and music of the Garifuna",
1,Belize; Guatemala; Honduras; Nicaragua,Group III,Latin America and the Caribbean,2008,3.COM 1,Representative List,Multinational,"Language, dance and music of the Garifuna",
2,Benin; Nigeria; Togo,Group V(a),Africa,2008,3.COM 1,Representative List,Multinational,Oral heritage of Gelede,
2,Benin; Nigeria; Togo,Group V(a),Africa,2008,3.COM 1,Representative List,Multinational,Oral heritage of Gelede,
2,Benin; Nigeria; Togo,Group V(a),Africa,2008,3.COM 1,Representative List,Multinational,Oral heritage of Gelede,
161,Bhutan,Group IV,Asia and the Pacific,2008,3.COM 1,Representative List,National,Mask dance of the drums from Drametse,
48,Bolivia (Plurinational State of),Group III,Latin America and the Caribbean,2008,3.COM 1,Representative List,National,Andean cosmovision of the Kallawaya,
3,Bolivia (Plurinational State of),Group III,Latin America and the Caribbean,2008,3.COM 1,Representative List,National,Carnival of Oruro,
299,Bolivia (Plurinational State of); Chile; Peru,Group III,Latin America and the Caribbean,2009,4.COM 15B,Register of Good Safeguarding Practices,Multinational,"Safeguarding intangible cultural heritage of Aymara communities in Bolivia, Chile and Peru",
299,Bolivia (Plurinational State of); Chile; Peru,Group III,Latin America and the Caribbean,2009,4.COM 15B,Register of Good Safeguarding Practices,Multinational,"Safeguarding intangible cultural heritage of Aymara communities in Bolivia, Chile and Peru",
299,Bolivia (Plurinational State of); Chile; Peru,Group III,Latin America and the Caribbean,2009,4.COM 15B,Register of Good Safeguarding Practices,Multinational,"Safeguarding intangible cultural heritage of Aymara communities in Bolivia, Chile and Peru",
627,Bolivia (Plurinational State of),Group III,Latin America and the Caribbean,2012,7.COM 11.7,Representative List,National,"Ichapekene Piesta, the biggest festival of San Ignacio de Moxos","The Ichapekene Piesta festival combines the founder myth of the victory of Ignacio de Loyola with Moxe�o indigenous beliefs. Festivities involve fireworks, singing, celebrations of masses, funeral wakes, alms-giving and feasts. The main rituals are a representation of the victory of Saint Ignatius and a choreographed procession of participants disguised as masked ancestors and animals. They reinforce the importance of respect for nature, and allow the Moxe�os to be reborn into the Christian tradition in the presence of their ancestral spirits."
630,Bolivia (Plurinational State of),Group III,Latin America and the Caribbean,2014,9.COM 10.6,Representative List,National,"Pujllay and Ayarichi, music and dances of the Yampara culture","Pujllay and Ayarichi are complementary musical and choreographic forms of the Yampara culture. Pujllay is performed during a ritual celebrating the renewal of life and abundance brought on by the rainy season while Ayarichi is performed during the dry season at festivals dedicated to various Catholic saints. These cultural practices represent a favoured way to communicate with nature. During performances, extensive community networks are mobilized, including children who learn the associated knowledge and skills through collective games and observation."
1182,Bolivia (Plurinational State of),Group III,Latin America and the Caribbean,2017,12.COM 11.b.5,Representative List,National,Ritual journeys in La Paz during Alasita,"During the ritual journeys in La Paz during Alasita, participants procure 'good luck' miniatures associated with Ekeko, the city's beneficient god of fertility; this is followed by their consecration with Andean ritualists or their blessing by the Catholic Church. The practice promotes social cohesion and intergenerational transmission. Alasita rituals are primarily transmitted naturally within the family, and efforts to safeguard the practice, primarily by civil society, have been continuous. Museum exhibitions have increased awareness of the practice, and municipal contests encourage the production of the miniatures."
1389,Bolivia (Plurinational State of),Group III,Latin America and the Caribbean,2019,14.COM 10.b.5,Representative List,National,The festival of the Sant�sima Trinidad del Se�or Jes�s del Gran Poder in the city of La Paz,"The Gran Poder festival takes place every year on the Day of the Holy Trinity in the city of La Paz. The Parade begins with a procession involving 40,000 devotees who dance and sing in honour of the patron saint. The procession moves through the streets with 7,000 musicians, greeted by a euphoric atmosphere. On the following day, the procession members carry the patron saint on their shoulders. The festival stimulates and transforms the social life of La Paz. It is rooted in a particular way of living Andean Catholicism."
1477,Bolivia (Plurinational State of),Group III,Latin America and the Caribbean,2021,16.COM 8.b.5,Representative List,National,Grand Festival of Tarija,"Bolivia's Grand Festival of Tarija takes place every year in August and September, with devotional processions, festivals, competitions and fireworks. Transmitted through families and the church, the festival has its origins in the colonial period, when the inhabitants of Tarija entreated Saint Roch to cure diseases and protect their loved ones. It is characterized by lively music and dancing, regional crafts, traditional dishes and pilgrims dressed in colourful costumes and masks. In addition to its religious significance, the festival marks the beginning of the growing season."
990,Bosnia and Herzegovina,Group II,Europe and North America,2014,9.COM 10.7,Representative List,National,Zmijanje embroidery,"Zmijanje embroidery is a specific technique practised by the women of Zmijanje villages in Bosnia and Herzegovina. Traditionally, Zmijanje embroidery is used to decorate female costumes and household items, including wedding dresses, scarves, garments and bed linen. A deep blue thread is used to embroider improvised rich, geometrical designs; the variations of the embroidered designs determine the social status of the village women. Embroidery is usually done among groups of women, who engage in needlework while singing and chatting."
1288,Bosnia and Herzegovina,Group II,Europe and North America,2017,12.COM 11.b.6,Representative List,National,Konjic woodcarving,"Konjic woodcarving is an artistic craft with a long tradition in the Konjic municipality. The woodcarvings � which include furniture, sophisticated interiors and small decorative objects � stand out for their recognizable hand-carved motifs and overall visual identity. The craft is a key part of the local community's culture that forges a sense of community and belonging. It is primarily transmitted inter-generationally within the family and through on-the-job training in family-run woodcarving workshops, which train apprentice woodcarvers and help popularize the craft."
1289,Bosnia and Herzegovina,Group II,Europe and North America,2018,13.COM 10.b.7,Representative List,National,Picking of iva grass on Ozren mountain,"Every year, on 11 September , the day of the beheading of St. John the Baptist, inhabitants of villages around Ozren Mountain go up to Gostilj to pick Iva grass before assembling into smaller groups to play, dance and sing traditional music. In the afternoon, Orthodox priests consecrate the Iva. Iva is used to cure and prevent disease, and the practice helps preserve traditional costumes, songs and dances. Several local associations invite similar organizations from other regions to partake in the tradition."
1512,Bosnia and Herzegovina,Group II,Europe and North America,2020,15.COM 8.b.19,Representative List,National,Grass mowing competition custom in Kupres,"The annual mowing competition that takes place in July at a specific meadow called Strljanica is the most important social event in the Kupres municipality. The contest involves the manual mowing of grass using a scythe and is judged by the time, effort, and amount mown as cutting grass at that altitude requires strength and a special technique. Traditionally, the competitors are men aged 18 and above. The practice is transmitted within families from father to son."
753,Botswana,Group V(a),Africa,2012,7.COM 8.1,Urgent Safeguarding List,National,Earthenware pottery-making skills in Botswana's Kgatleng District,"Women of the Bakgatla ba Kgafela community of Botswana practice earthenware pottery-making skills using clay soil, weathered sandstone and other materials to make pots of different forms, designs and styles that relate to the traditional rituals and beliefs of the community. Pots are used for storing beer, fermenting sorghum meal, fetching water, cooking, ancestral worship and traditional healing rituals. The practice is at risk of extinction because of the decreasing number of master potters, low prices for finished goods and the increasing use of mass-produced containers."
1290,Botswana,Group V(a),Africa,2017,12.COM 11.a.1,Urgent Safeguarding List,National,Dikopelo folk music of Bakgatla ba Kgafela in Kgatleng District,"Dikopelo involves vocal singing and dancing in a patterned choreography without musical instruments. Dikopelo is in need of urgent safeguarding, primarily as a result of migration away from farmlands to villages, as well as modern entertainment practices, which threaten its viability. The community and the practitioners are nonetheless committed to safeguarding the element, as illustrated by efforts to compete with groups from other districts and to revive Dikopelo as a strategy to protect young people from social ills."
1502,Botswana,Group V(a),Africa,2019,14.COM 10.a.1,Urgent Safeguarding List,National,Seperu folkdance and associated practices,"The Seperu folkdance and associated practices involves singing, dancing and sacred rituals performed by Veekuhane community members. During its performance, female dancers align in a horseshoe formation with male dancers at the end. A female dancer wearing a multi-layered dress ('mushishi'), is selected to demonstrate her dancing skills. She uses her dress to imitate the tail of a peacock while the others mimic dove sounds. Although it is a key identity symbol for the Veehukane, the practice is threatened by the great decline in the number of its practitioners, the result of modernization, lack of recognition in school curricula and other factors."
49,Brazil,Group III,Latin America and the Caribbean,2008,3.COM 1,Representative List,National,Oral and graphic expressions of the Wajapi,
101,Brazil,Group III,Latin America and the Caribbean,2008,3.COM 1,Representative List,National,Samba de Roda of the Rec�ncavo of Bahia,
504,Brazil,Group III,Latin America and the Caribbean,2011,6.COM 9.3,Register of Good Safeguarding Practices,National,Call for projects of the National Programme of Intangible Heritage,"Each year, a national call for projects from the Programa Nacional de Patrim�nio Imaterial (PNPI) encourages and supports safeguarding initiatives and practices proposed by Brazilian local government bodies or non-profit private organizations. The projects must involve the participation of the community and groups concerned, promote social inclusion and improvement of the life conditions of creators and bearers of such heritage, and respect individual and collective rights. The Intangible Heritage Department of IPHAN (National Historical and Artistic Heritage Institute) in Brasilia selects the projects, after evaluation by a national committee of specialists."
502,Brazil,Group III,Latin America and the Caribbean,2011,6.COM 9.5,Register of Good Safeguarding Practices,National,Fandango's Living Museum,"The Cabur� Cultural Association, a non-governmental organization, conceived Fandango's Living Museum to promote safeguarding actions for fandango, a popular music and dance expression in coastal communities in southern and south-eastern Brazil. Approximately 300 local practitioners have participated in an open-air community museum and a circuit of visiting and exchanging experience, cultural and research centres, and places for selling local handicrafts. The museum promotes awareness-raising by organizing local performances, runs workshops with schoolteachers, publishes books and CDs, operates a website, and makes bibliographic and audiovisual collections available."
521,Brazil,Group III,Latin America and the Caribbean,2011,6.COM 8.3,Urgent Safeguarding List,National,"Yaokwa, the Enawene Nawe people's ritual for the maintenance of social and cosmic order","The Enawene Nawe people living in the southern Amazon rainforest perform the Yaokwa ritual each year during the seven-month dry season to honour the Yakairiti spirits and ensure cosmic and social order. The different clans alternate responsibility: one embarks on fishing expeditions throughout the area while another prepares offerings of rock salt, fish and ritual food for the spirits, and performs music and dance. Yaokwa and the local biodiversity it celebrates represent an extremely delicate and fragile ecosystem whose continuity depends directly on its conservation."
603,Brazil,Group III,Latin America and the Caribbean,2012,7.COM 11.8,Representative List,National,"Frevo, performing arts of the Carnival of Recife","Frevo is a Brazilian artistic expression comprising music and dance, performed mainly during the Carnival of Recife. Its quick frenetic and vigorous rhythm draws upon the fusion of musical genres such as marching music, Brazilian tango, square dance, polka and pieces of classical repertoire, performed by martial bands and fanfares. The music is essentially urban, and like the accompanying dance, 'Passo', is vigorous and subversive. The dance stems from the skill and agility of capoeira fighters, who improvise leaps to the electrifying sound of steel orchestras and bands. [88 words]
"
602,Brazil,Group III,Latin America and the Caribbean,2013,8.COM 8.7,Representative List,National,"C�rio de Nazar� (The Taper of Our Lady of Nazareth) in the city of Bel�m, Par�","The C�rio de Nazar� festival in Bel�m honours Our Lady of Nazareth. On the second Sunday of October, a wooden image of Our Lady proceeds from S� Cathedral to Sanctuary Square in what is one of the world's largest religious processions. Vast numbers travel from across Brazil to attend a festival that blends sacred and profane elements, reflecting the rich multicultural character of Brazilian society. While local devotees build altars and welcome visitors, children accompany parents to the festivities, thus ensuring transmission of this heritage."
892,Brazil,Group III,Latin America and the Caribbean,2014,9.COM 10.8,Representative List,National,Capoeira circle,"Capoeira is an Afro-Brazilian cultural practice, simultaneously a fight and a dance, that promotes mutual respect and social cohesion. Players form a circle at the centre of which two players engage with one another. The movements require great bodily dexterity. The other players around the circle sing, chant, clap and play percussive instruments. Capoeira circles comprise a master, counter-master and disciples. The master is the guardian of the knowledge of the circle that is learnt by other participants through observation and imitation."
1510,Brazil,Group III,Latin America and the Caribbean,2019,14.COM 10.b.6,Representative List,National,Cultural Complex of Bumba-meu-boi from Maranh�o,"The cultural complex of Bumba-meu-boi from Maranh�o is a ritualistic practice involving forms of musical, choreographic, performing and playful expression. The practice is heavily charged with symbolism. It reproduces the cycle of life, offering a metaphor for human existence itself. Each year, the groups concerned reinvent this celebration, recreating songs, comedies, costumes, and embroideries for the occasion. Culminating at the end of June, the festival cycle involves numerous manifestations, including public performances, and rituals around the death of an ox. It is a period of renovation during which energies are reinvigorated."
95,Bulgaria,Group II,Europe and North America,2008,3.COM 1,Representative List,National,"Bistritsa Babi, archaic polyphony, dances and rituals from the Shoplouk region",
191,Bulgaria,Group II,Europe and North America,2009,4.COM 13.05,Representative List,National,"Nestinarstvo, messages from the past: the Panagyr of Saints Constantine and Helena in the village of Bulgari",
965,Bulgaria,Group II,Europe and North America,2014,9.COM 10.9,Representative List,National,The tradition of carpet-making in Chiprovtsi,"Kilimi are hand-woven carpets made by the women of Chiprovtsi. The weavers use vertical handlooms to make two-sided tapestries traditionally used for floor coverings. The process of transmission occurs informally from mothers and grandmothers to daughters, often while working together on large carpets. The men of the town typically engage in wool production, processing and dyeing. The finished carpets are renowned for their composition, ornamental motifs and colour."
968,Bulgaria,Group II,Europe and North America,2015,10.COM 10.b.10,Representative List,National,Surova folk feast in Pernik region,"The Surova folk feast, held in villages of the Pernik region, takes place on 13 and 14 January to celebrate the New Year. At night, a masquerade group called the Survakari performs in the centre, featuring characters like the newly-weds, the priest and the bear who visit homes the next day to 'marry' young couples and 'maul' people for good health. A meal is offered and donations collected for the needy. All ages participate, particularly young people, building their self-esteem."
970,Bulgaria,Group II,Europe and North America,2016,11.COM 10.c.3,Register of Good Safeguarding Practices,National,Festival of folklore in Koprivshtitsa: a system of practices for heritage presentation and transmission,"The concept for the Festival of Folklore in Koprivshtitsa, where thousands of Bulgarians and the diaspora meet to perform living heritage practices, originated when local musicians saw that traditions were being endangered by factors such as urbanization and commodification. Involving the municipality, Ministry of Culture, Institute of Ethnology and Folklore Studies with the Ethnographic Museum, the Institute for Art Studies and Bulgarian television and radio, it promotes the performance, transmission and documentation of community traditions attracting national and international audiences."
969,Bulgaria,Group II,Europe and North America,2017,12.COM 11.e.2,Register of Good Safeguarding Practices,National,Bulgarian Chitalishte (Community Cultural Centre): practical experience in safeguarding the vitality of the Intangible Cultural Heritage,"Bulgarian chitalishta (cultural community centres) are established by communities themselves and are open to everyone. The first chitalishta were set up in 1856 and they have been a key organizational unit of Bulgarian society ever since. Chitalishta perform cultural and educational activities aimed at safeguarding the customs and traditions of Bulgarian people, ensuring access to information and distributing knowledge. Their efficiency is demonstrated by their increasing numbers over the years and the growing numbers of participants in their activities."
1287,Bulgaria; North Macedonia; Republic of Moldova; Romania,Group II,Europe and North America,2017,12.COM 11.b.7,Representative List,Multinational,Cultural practices associated to the 1st of March,"Cultural Practices Associated to the 1st of March comprise traditions to celebrate the beginning of spring. The main practice consists of wearing a red and white thread to ensure the safe, harmonious passage from winter to spring. All members of the communities concerned participate, and the practice contributes to social cohesion, interaction with nature, intergenerational exchange and creativity. Transmission is spontaneous and occurs through informal learning in families, neighbourhoods and workshops, as well as through dedicated school and museum programmes."
1287,Bulgaria; North Macedonia; Republic of Moldova; Romania,Group II,Europe and North America,2017,12.COM 11.b.7,Representative List,Multinational,Cultural practices associated to the 1st of March,"Cultural Practices Associated to the 1st of March comprise traditions to celebrate the beginning of spring. The main practice consists of wearing a red and white thread to ensure the safe, harmonious passage from winter to spring. All members of the communities concerned participate, and the practice contributes to social cohesion, interaction with nature, intergenerational exchange and creativity. Transmission is spontaneous and occurs through informal learning in families, neighbourhoods and workshops, as well as through dedicated school and museum programmes."
1287,Bulgaria; North Macedonia; Republic of Moldova; Romania,Group II,Europe and North America,2017,12.COM 11.b.7,Representative List,Multinational,Cultural practices associated to the 1st of March,"Cultural Practices Associated to the 1st of March comprise traditions to celebrate the beginning of spring. The main practice consists of wearing a red and white thread to ensure the safe, harmonious passage from winter to spring. All members of the communities concerned participate, and the practice contributes to social cohesion, interaction with nature, intergenerational exchange and creativity. Transmission is spontaneous and occurs through informal learning in families, neighbourhoods and workshops, as well as through dedicated school and museum programmes."
1287,Bulgaria; North Macedonia; Republic of Moldova; Romania,Group II,Europe and North America,2017,12.COM 11.b.7,Representative List,Multinational,Cultural practices associated to the 1st of March,"Cultural Practices Associated to the 1st of March comprise traditions to celebrate the beginning of spring. The main practice consists of wearing a red and white thread to ensure the safe, harmonious passage from winter to spring. All members of the communities concerned participate, and the practice contributes to social cohesion, interaction with nature, intergenerational exchange and creativity. Transmission is spontaneous and occurs through informal learning in families, neighbourhoods and workshops, as well as through dedicated school and museum programmes."
967,Bulgaria,Group II,Europe and North America,2021,16.COM 8.b.6,Representative List,National,"Visoko multipart singing from Dolen and Satovcha, South-western Bulgaria","Visoko is a traditional practice of multipart singing that is unique to the Bulgarian villages of Dolen and Satovcha. There are three types: low-pitched, high-pitched, and a combination of the two. Visoko songs, also known as summer songs, were traditionally sung outdoors by women working in the fields. Today, the practice is passed on to women and girls through local singing groups. It is emblematic of local musical practice and creates a sense of community among singers in the groups while contributing to social ties between the singers and their audiences."
849,Mali; Burkina Faso; C�te d'Ivoire,Group V(a),Africa,2012,7.COM 11.21,Representative List,Multinational,"Cultural practices and expressions linked to the balafon of the Senufo communities of Mali, Burkina Faso and C�te d'Ivoire","The balafon of the Senufo communities of Mali, Burkina Faso and C�te d'Ivoire is a pentatonic xylophone composed of eleven to twenty-one keys of varying lengths arranged on a trapezoidal frame with gourd resonators of varying sizes arranged beneath. The player first learns to play a children's balafon before advancing to full-size ones, under the instruction of a teacher. Played solo or as part of an ensemble during festivities, prayers, work, funerals and more, the balafon is a symbol of community identity."
849,Mali; Burkina Faso; C�te d'Ivoire,Group V(a),Africa,2012,7.COM 11.21,Representative List,Multinational,"Cultural practices and expressions linked to the balafon of the Senufo communities of Mali, Burkina Faso and C�te d'Ivoire","The balafon of the Senufo communities of Mali, Burkina Faso and C�te d'Ivoire is a pentatonic xylophone composed of eleven to twenty-one keys of varying lengths arranged on a trapezoidal frame with gourd resonators of varying sizes arranged beneath. The player first learns to play a children's balafon before advancing to full-size ones, under the instruction of a teacher. Played solo or as part of an ensemble during festivities, prayers, work, funerals and more, the balafon is a symbol of community identity."
849,Mali; Burkina Faso; C�te d'Ivoire,Group V(a),Africa,2012,7.COM 11.21,Representative List,Multinational,"Cultural practices and expressions linked to the balafon of the Senufo communities of Mali, Burkina Faso and C�te d'Ivoire","The balafon of the Senufo communities of Mali, Burkina Faso and C�te d'Ivoire is a pentatonic xylophone composed of eleven to twenty-one keys of varying lengths arranged on a trapezoidal frame with gourd resonators of varying sizes arranged beneath. The player first learns to play a children's balafon before advancing to full-size ones, under the instruction of a teacher. Played solo or as part of an ensemble during festivities, prayers, work, funerals and more, the balafon is a symbol of community identity."
989,Burundi,Group V(a),Africa,2014,9.COM 10.10,Representative List,National,Ritual dance of the royal drum,"The ritual dance of the royal drum combines powerful, synchronized drumming with dancing, heroic poetry and traditional songs. The dance includes at least a dozen drums, always in an odd number, arranged around a central drum in a semicircle. Two or three drummers perform dances to the rhythm. The ritual dance is an opportunity to transmit cultural, political and social messages, and a privileged means of bringing people of diverse generations and origins together, thereby encouraging unity and social cohesion."
1469,Cabo Verde,Group V(a),Africa,2019,14.COM 10.b.8,Representative List,National,"Morna, musical practice of Cabo Verde","Morna is a traditional Cape Verdean musical and choreographic practice with instrumental accompaniment that incorporates voice, music, poetry and dance. Morna can be either sung or played only with instruments, primarily chordophones, including the guitar, violin, and ukulele. The lyric poetry can be improvised � with topics including love, departure, separation, reunion, and the motherland � and is now mainly performed in Cape Verdean Creole. Bearers and practitioners include instrument players, singers, poets and composers, and the practice is performed at key life events such as weddings, christenings, and family reunions."
60,Cambodia,Group IV,Asia and the Pacific,2008,3.COM 1,Representative List,National,Royal ballet of Cambodia,
108,Cambodia,Group IV,Asia and the Pacific,2008,3.COM 1,Representative List,National,"Sbek Thom, Khmer shadow theatre",
1080,Cambodia; Philippines; Republic of Korea; Viet Nam,Group IV,Asia and the Pacific,2015,10.COM 10.b.12,Representative List,Multinational,Tugging rituals and games,"Tugging rituals and games in the rice-farming cultures of East Asia and Southeast Asia are enacted among communities to ensure abundant harvests and prosperity. They mark the start of the agricultural cycle and often begin with commemorative rites to local deities. Typically held near a communal house or shrine, two teams on either end of a rope try to tug it from the other. The practice is non-competitive, strengthening community solidarity and identity. Elders lead young people and the rituals."
1080,Cambodia; Philippines; Republic of Korea; Viet Nam,Group IV,Asia and the Pacific,2015,10.COM 10.b.12,Representative List,Multinational,Tugging rituals and games,"Tugging rituals and games in the rice-farming cultures of East Asia and Southeast Asia are enacted among communities to ensure abundant harvests and prosperity. They mark the start of the agricultural cycle and often begin with commemorative rites to local deities. Typically held near a communal house or shrine, two teams on either end of a rope try to tug it from the other. The practice is non-competitive, strengthening community solidarity and identity. Elders lead young people and the rituals."
1080,Cambodia; Philippines; Republic of Korea; Viet Nam,Group IV,Asia and the Pacific,2015,10.COM 10.b.12,Representative List,Multinational,Tugging rituals and games,"Tugging rituals and games in the rice-farming cultures of East Asia and Southeast Asia are enacted among communities to ensure abundant harvests and prosperity. They mark the start of the agricultural cycle and often begin with commemorative rites to local deities. Typically held near a communal house or shrine, two teams on either end of a rope try to tug it from the other. The practice is non-competitive, strengthening community solidarity and identity. Elders lead young people and the rituals."
1080,Cambodia; Philippines; Republic of Korea; Viet Nam,Group IV,Asia and the Pacific,2015,10.COM 10.b.12,Representative List,Multinational,Tugging rituals and games,"Tugging rituals and games in the rice-farming cultures of East Asia and Southeast Asia are enacted among communities to ensure abundant harvests and prosperity. They mark the start of the agricultural cycle and often begin with commemorative rites to local deities. Typically held near a communal house or shrine, two teams on either end of a rope try to tug it from the other. The practice is non-competitive, strengthening community solidarity and identity. Elders lead young people and the rituals."
1165,Cambodia,Group IV,Asia and the Pacific,2016,11.COM 10.a.6,Urgent Safeguarding List,National,Chapei Dang Veng,"Chapei dang veng is a Cambodian musical tradition associated with the life, customs and beliefs of Cambodian people. It features the chapei (a lute often played at cultural festivals) accompanied by the performer singing, with lyrics ranging from educational and social commentary to satire incorporating poems, folk tales or Buddhist stories. Transmitting knowledge and values; creating a space for commentary; and contributing to peacebuilding the tradition transmitted orally may soon disappear with few practitioners due to the Khmer Rouge regime."
1374,Cambodia,Group IV,Asia and the Pacific,2018,13.COM 10.a.3,Urgent Safeguarding List,National,Lkhon Khol Wat Svay Andet,"Lkhon Khol Wat Svay Andet is performed by masked men to the accompaniment of music and melodious recitation in a community based around the Buddhist monastery of Wat Svay Andet. It aims to ensure the community's protection and prosperity by winning the favours of Neak Ta, a guardian spirit of the place and its people. After generations of transmission, the element's viability has been weakened by environmental factors, economic migration, insufficient resources and the effects of war and of the Khmer Rouge regime."
82,Central African Republic,Group V(a),Africa,2008,3.COM 1,Representative List,National,Polyphonic singing of the Aka Pygmies of Central Africa,
988,Chile,Group III,Latin America and the Caribbean,2014,9.COM 10.11,Representative List,National,Baile Chino,"Bailes Chinos are brotherhoods of musicians who express their faith through music, dance and singing. Performed mainly by men, the dances consist of jumps and flexing movements of the legs, performed to the music of drums and flutes. Sung couplets recount holy stories and address religious subjects while a drummer leads the choreography and controls the tempo of the music. Brotherhoods function as a model for social integration and cohesion to which almost the entire local community subscribes."
61,China,Group IV,Asia and the Pacific,2008,3.COM 1,Representative List,National,Guqin and its music,
4,China,Group IV,Asia and the Pacific,2008,3.COM 1,Representative List,National,Kun Qu opera,
115,China; Mongolia,Group IV,Asia and the Pacific,2008,3.COM 1,Representative List,Multinational,"Urtiin Duu, traditional folk long song",
115,China; Mongolia,Group IV,Asia and the Pacific,2008,3.COM 1,Representative List,Multinational,"Urtiin Duu, traditional folk long song",
109,China,Group IV,Asia and the Pacific,2008,3.COM 1,Representative List,National,Uyghur Muqam of Xinjiang,
217,China,Group IV,Asia and the Pacific,2009,4.COM 13.06,Representative List,National,Art of Chinese seal engraving,
229,China,Group IV,Asia and the Pacific,2009,4.COM 13.07,Representative List,National,China engraved block printing technique,
216,China,Group IV,Asia and the Pacific,2009,4.COM 13.08,Representative List,National,Chinese calligraphy,
219,China,Group IV,Asia and the Pacific,2009,4.COM 13.09,Representative List,National,Chinese paper-cut,
223,China,Group IV,Asia and the Pacific,2009,4.COM 13.10,Representative List,National,Chinese traditional architectural craftsmanship for timber-framed structures,
200,China,Group IV,Asia and the Pacific,2009,4.COM 13.11,Representative List,National,Craftsmanship of Nanjing Yunjin brocade,
225,China,Group IV,Asia and the Pacific,2009,4.COM 13.12,Representative List,National,Dragon Boat festival,
213,China,Group IV,Asia and the Pacific,2009,4.COM 13.13,Representative List,National,Farmers' dance of China's Korean ethnic group,
204,China,Group IV,Asia and the Pacific,2009,4.COM 13.14,Representative List,National,Gesar epic tradition,
202,China,Group IV,Asia and the Pacific,2009,4.COM 13.15,Representative List,National,Grand song of the Dong ethnic group,
211,China,Group IV,Asia and the Pacific,2009,4.COM 13.16,Representative List,National,Hua'er,
209,China,Group IV,Asia and the Pacific,2009,4.COM 13.17,Representative List,National,Manas,
227,China,Group IV,Asia and the Pacific,2009,4.COM 13.18,Representative List,National,Mazu belief and customs,
210,China,Group IV,Asia and the Pacific,2009,4.COM 13.19,Representative List,National,"Mongolian art of singing, Khoomei",
199,China,Group IV,Asia and the Pacific,2009,4.COM 13.20,Representative List,National,Nanyin,
305,China,Group IV,Asia and the Pacific,2009,4.COM 14.02,Urgent Safeguarding List,National,Qiang New Year festival,
207,China,Group IV,Asia and the Pacific,2009,4.COM 13.21,Representative List,National,Regong arts,
197,China,Group IV,Asia and the Pacific,2009,4.COM 13.22,Representative List,National,Sericulture and silk craftsmanship of China,
208,China,Group IV,Asia and the Pacific,2009,4.COM 13.23,Representative List,National,Tibetan opera,
303,China,Group IV,Asia and the Pacific,2009,4.COM 14.03,Urgent Safeguarding List,National,Traditional design and practices for building Chinese wooden arch bridges,
205,China,Group IV,Asia and the Pacific,2009,4.COM 13.24,Representative List,National,Traditional firing technology of Longquan celadon,
201,China,Group IV,Asia and the Pacific,2009,4.COM 13.25,Representative List,National,Traditional handicrafts of making Xuan paper,
